3|37|67
3|164|22
1|88|22
2|6|22
1|164|21
2|88|21
5|6|21
3|88|80
3|6|178
3|30|176
3|111|64
4|49|183
4|162|43
3|32|1
2|11|33
3|14|84
4|65|151
5|77|64
2|59|82
1|33|96
1|46|157
5|70|163
3|34|14
5|108|163
3|54|93
2|216|163
5|172|90
2|108|108
5|192|147
5|105|164
4|151|136
2|80|190
5|198|80
1|87|102
1|158|100
5|46|107
1|222|103
4|170|88
4|178|40
1|77|196
1|35|75
1|106|125
4|73|70
4|185|167
1|49|51
3|98|22
3|73|15
4|210|108
5|41|130
1|51|57
5|16|43
5|138|21
1|168|82
2|14|144
3|51|160
3|107|75
4|74|107
2|178|57
1|111|108
3|110|116
4|175|183
2|55|164
2|217|156
1|15|99
1|161|110
5|98|127
2|8|3
3|166|133
3|195|166
5|67|193
3|186|145
1|2|121
1|21|93
2|146|186
4|76|143
1|23|130
2|18|108
3|4|164
2|83|152
5|180|41
1|106|10
1|102|200
2|35|47
1|60|103
5|129|143
2|171|55
1|215|110
1|205|47
1|197|44
2|49|62
2|96|85
1|22|50
5|85|106
2|190|4
2|17|184
4|221|16
5|72|110
3|6|59
5|20|107
2|59|177
1|41|121
4|129|195
2|49|86
5|165|83
2|110|163
3|197|79
5|192|131
1|91|45
3|175|12
1|82|72
3|218|156
1|114|168
2|150|99
4|58|9
5|185|79
1|178|49
4|106|41
3|52|64
4|7|156
5|3|68
1|79|144
1|91|173
1|77|177
2|3|13
1|50|69
4|192|173
2|129|193
1|141|199
2|149|188
1|21|44
3|11|191
2|163|49
4|28|96
1|7|116
1|152|66
2|52|197
1|199|157
2|100|185
5|1|52
3|118|196
1|21|188
3|111|149
2|53|198
4|72|191
1|111|54
2|127|174
3|145|59
2|155|194
3|167|166
2|224|62
5|46|31
3|75|9
4|79|120
3|94|28
3|126|23
1|71|134
4|109|94
1|223|5
1|132|26
1|111|73
5|193|182
1|23|196
5|224|69
4|24|152
4|133|47
5|98|23
2|188|24
4|193|185
2|166|150
2|196|38
1|215|36
4|111|48
1|8|187
3|222|44
5|40|55
5|82|64
4|117|182
1|122|173
4|39|41
3|198|4
2|184|56
3|151|125
2|2|44
3|195|200
3|19|188
4|221|19
2|223|69
1|115|5
5|154|91
3|211|188
3|70|132
3|156|107
3|155|30
2|62|158
